item_cd,item_name,itemnm,count,amount,quantity
4901777211629,トリス＜エクストラ＞,サントリー トリス＜エクストラ＞_７００ｍｌ,17,14726,17
4901777211742,ほろよい　ぶどうサワー,サントリー ほろよい＜グレープ＞_３５０ｍｌ_缶,1034,119388,1240
4901777211759,ほろよい　ぶどう　ケース,サントリー ほろよい＜グレープ＞_３５０ｍｌ×２４_缶,1,2136,1
4901777212008,トリスハイボール,サントリー トリスハイボール_３５０ｍｌ_缶,591,147305,1074
4901777212015,トリスハイボール　350ml　ケース,サントリー トリスハイボール_３５０ｍｌ×２４_缶,3,9450,3
4901777213289,アペロール　（終売）,アペロール_７００ｍｌ,1,1380,1
4901777213838,マンゴヤン　マンゴーリキュール　（新）,マンゴヤン_マンゴーリキュール_７００ｍｌ,8,16040,8
4901777213876,マンゴヤン　マンゴーリキュール　　ベビー　（新）,マンゴヤン_マンゴーリキュールベビー_２００ｍｌ,5,3990,5
4901777214590,ほろよい　アイスティーサワー,サントリー ほろよい＜アイスティサワー＞_３５０ｍｌ_缶,1062,137488,1417
4901777214606,ほろよい　アイスティーサワー　ケース,サントリー ほろよい＜アイスティサワー＞_３５０ｍｌ×２４_缶,3,11648,5
4901777215016,トリスハイボール,サントリー トリスハイボール_５００ｍｌ_缶,228,61675,330
4901777216280,マスカットリキュール･ド･フランス ミスティア,マスカットリキュールドフランスミスティア_７００ｍｌ,19,44281,20
4901777217188,ジョッキ生　350ml　（新）,サントリー ジョッキ生_３５０ｍｌ_缶,82,17826,179
4901777217201,ジョッキ生　350×6缶　（新）,サントリー ジョッキ生_３５０ｍｌ×６_缶,37,29672,50
4901777217218,ジョッキ生　350ml　ケース　（新）,サントリー ジョッキ生_３５０ｍｌ×６×４_缶,31,98800,42
4901777217225,ジョッキ生　500ml　（新）,サントリー ジョッキ生_５００ｍｌ_缶,43,10641,75
4901777217249,ジョッキ生　500×6缶　（新）,サントリー ジョッキ生_５００ｍｌ×６_缶,18,37394,45
4901777217256,ジョッキ生　500ml　ケース　（新）,サントリー ジョッキ生_５００ｍｌ×６×４_缶,7,23455,7
4901777218581,ほろよい　はちみつレモン,サントリー ほろよい＜はちみつレモン＞_３５０ｍｌ_缶,1196,141548,1466
4901777222175,のんある気分　ソルティドッグテイスト,サントリー のんある気分＜ソルティドッグテイスト＞_３５０ｍｌ_缶,238,33017,337
4901777222199,のんある気分　ジンライムテイスト,サントリー のんある気分＜ジンライムテイスト＞_３５０ｍｌ_缶,87,11238,114
4901777222212,のんある気分　カシスオレンジテイスト,サントリー のんある気分＜カシスオレンジテイスト＞_３５０ｍｌ_缶,250,34430,349
4901777222861,マイナス196℃　ストロングゼロ　ダブル完熟梅,サントリー －１９６℃ストロングゼロ＜ダブル完熟梅＞_３５０ｍｌ_缶,270,38081,386
4901777222908,マイナス196℃　ストロングゼロ　ダブル完熟梅,サントリー －１９６℃ストロングゼロ＜ダブル完熟梅＞_５００ｍｌ_缶,262,45748,336
4901777223929,ミルクで割るデザートなお酒　ＭＩＬＭＩＸ　ラムレーズン,サントリー ミルクで割るデザートなお酒ミルミクス_ラムレーズン_２００ｍｌ,9,3582,9
4901777227071,まるで梅酒なノンアルコール,サントリー まるで梅酒なノンアルコール_２８０ｍｌ_缶,22,4184,25
4901777229747,マイナス196℃　無糖クリア　レモン＆ライム,サントリー －１９６℃無糖クリア＜レモン＆ライム＞_３５０ｍｌ_缶,5,588,6
4901777229846,のんある気分　地中海レモン,サントリー のんある気分＜地中海レモン＞_３５０ｍｌ_缶,171,23875,242
4901777230071,金麦　糖質75％オフ　350ml,サントリー 金麦＜糖質７５％オフ＞_３５０ｍｌ_缶,542,86772,862
4901777230156,金麦　糖質75％オフ　350×6缶,サントリー 金麦＜糖質７５％オフ＞_３５０ｍｌ×６_缶,604,392946,681
4901777230163,金麦　糖質75％オフ　350ml　ケース,サントリー 金麦＜糖質７５％オフ＞_３５０ｍｌ×６×４_缶,208,601450,264
4901777230170,金麦　糖質75％オフ　500ml,サントリー 金麦＜糖質７５％オフ＞_５００ｍｌ_缶,357,79982,564
4901777230194,金麦　糖質75％オフ　500×6缶,サントリー 金麦＜糖質７５％オフ＞_５００ｍｌ×６_缶,164,159454,195
4901777230200,金麦　糖質75％オフ　500ml　ケース,サントリー 金麦＜糖質７５％オフ＞_５００ｍｌ×６×４_缶,41,149411,46
4901777230507,のんある気分　6缶アソートパック,サントリー のんある気分アソートパック_３５０ｍｌ×６_缶,6,4561,8
4901777232518,のんある気分　地中海グレープフルーツ,サントリー のんある気分＜地中海グレープフルーツ缶＞_３５０ｍｌ_缶,190,25056,255
4901777233751,ソウルマッコリ　ペット,ソウルマッコリ_７５０ｍｌ_ペット,63,31798,82
4901777235496,フレシネ　ミーア　赤,フレシネ　ミーア　２０１４　赤　中瓶　３７５ｍｌ,1,570,1
4901777235502,フレシネ　ミーア　白,フレシネ　ミーア　白　２０１４　中瓶　３７５ｍｌ,1,570,1
4901777235519,角ハイボール＜濃いめ＞,サントリー 角ハイボール＜濃いめ＞_３５０ｍｌ_缶,564,221861,1389
4901777235526,角ハイボール＜濃いめ＞　ケース,サントリー 角ハイボール＜濃いめ＞_３５０ｍｌ×２４_缶,9,36660,10
