item_cd,item_name,itemnm,count,amount,quantity
4904230052715,ニッカ　スーパーニッカ５００,アサヒ ニッカ_スーパーニッカ_５００ｍｌ,7,11760,7
4904230053439,Ａ　もぎたて白桃３５０ｍｌ,アサヒ もぎたて＜手摘み白桃＞_３５０ｍｌ_缶,1,95,1
4904230053644,アサヒ　贅沢搾りキウイ　３５,アサヒ 贅沢搾り＜キウイ＞_３５０ｍｌ_缶,308,38455,386
4904230053859,ニッカ淡麗辛口ハイボール３５,アサヒ 淡麗辛口ハイボール_３５０ｍｌ_缶,4,708,6
4904230054887,ＢニッカＤブレンドＥＸ７００,アサヒ ブラックニッカ_エクストラスイート_７００ｍｌ,1,1980,1
4904230056430,カルピスＳ　濃い贅沢Ｆミック,アサヒ カルピスサワー＜濃い贅沢フルーツミックス＞_３５０ｍｌ_缶,4,592,4
4904230056478,サントネージュやさしいワイン,アサヒ サントネージュ酸化防止剤無添加のやさしいワイン赤_７２０ｍｌ_ペット,5,1990,5
4904230056607,ＡウイルキンソンＨ９無糖ドラ,アサヒ ウィルキンソン・ハードナイン＜無糖ドライ＞_５００ｍｌ_缶,1,140,1
4904230056621,ＡウイルキンソンＨ９無糖ドラ,アサヒ ウィルキンソン・ハードナイン＜無糖ドライ＞_３５０ｍｌ_缶,5,990,9
4904230056669,ＡウイルキンソンＨ９無糖レモ,アサヒ ウィルキンソン・ハードナイン＜無糖レモン＞_３５０ｍｌ_缶,9,1626,15
4904230056904,ウィルキンソンドライ７Ｄレモ,アサヒ ウィルキンソンドライセブン＜ドライレモン＞_３５０ｍｌ_缶,35,6076,62
4904230056942,ウィルキンソンＤ７レモンライ,アサヒ ウィルキンソンドライセブン＜ドライレモンライム＞_３５０ｍｌ_缶,7,784,8
4904230057161,Ａドライゼロスパーク５００ｍ,アサヒ ドライゼロスパーク_５００ｍｌ_ペット,21,4582,29
4904230057437,アルパカ　オーガニック白７５,サンタ・ヘレナ・アルパカ・オーガニック・ホワイト_７５０ｍｌ,3,4232,4
4904230057444,サンタＨアルパカ　ＯＧレッド,サンタ・ヘレナ・アルパカ・オーガニック・レッド_７５０ｍｌ,3,3174,3
4904230057833,果実の瞬間山梨産完熟ピオーネ,アサヒ 果実の瞬間＜山梨産完熟ピオーネ＞_３５０ｍｌ_缶,1,122,1
4904230058335,Ａもぎたてしっとり洋梨３５０,アサヒ もぎたて＜しっとり洋梨＞_３５０ｍｌ_缶,12,1138,12
4904230058373,Ａもぎたてリンゴ３５０ｍｌ,アサヒ もぎたて＜しゃりっと林檎＞_３５０ｍｌ_缶,3,285,3
4904230058670,アサヒ贅沢搾りりんご３５０ｍ,アサヒ 贅沢搾り＜りんご＞_３５０ｍｌ_缶,25,3000,30
4904230058694,Ａ　贅沢搾り洋なし　５００ｍ,アサヒ 贅沢搾り＜洋なし＞_５００ｍｌ_缶,3,552,4
4904230058717,Ａ　贅沢搾り洋なし　３５０ｍ,アサヒ 贅沢搾り＜洋なし＞_３５０ｍｌ_缶,304,38276,385
4904230059400,アサヒ芋焼酎かのか１．８Ｌ,アサヒ かのか濃醇まろやか_２５度_混和_芋_１．８Ｌ_パック,2,1996,2
4904230059660,Ａ　カクパポップオレンジ３５,アサヒ カクテルパートナー＜ポップオレンジ＞_３５０ｍｌ_缶,4,392,4
4904230059684,Ａカクパ　ネオングリーン３５,アサヒ カクテルパートナー＜ネオングリーン＞_３５０ｍｌ_缶,6,588,6
4904230059783,ＡスタイルＢ素肌うるおう３５,アサヒ スタイルバランス＜素肌うるおうピーチスパークリング＞_３５０ｍｌ_缶,1,98,1
4904230059813,アサヒ　ドライゼロライム３５,アサヒ ドライゼロライム_３５０ｍｌ_缶,1,141,1
4904230059882,ウイルキンソンハイボール３５,アサヒ ウィルキンソン・ハイボール_３５０ｍｌ_缶,32,5145,49
4904230059905,アルパカ　ＳＰホワイト７５０,サンタ・ヘレナ・アルパカ・スペシャル・ブレンド・ホワイト_２０１９_７５０ｍｌ,30,14930,30
4904230059912,アルパカ　ＳＰレッド７５０,サンタ・ヘレナ・アルパカ・スペシャル・レッド_２０１９_７５０ｍｌ,28,13884,28
4904230059974,ニッカシードル・ロゼ２００ｍ,アサヒ ニッカシードルロゼ_２００ｍｌ,12,2646,14
4904230060154,ブラックＲコンフォート７００,アサヒ ブラックニッカリッチブレンドコンフォートアロマ_７００ｍｌ,7,13860,7
4904230060192,ウイルキンソン７レモンジンジ,アサヒ ウィルキンソンドライセブン＜ドライレモンジンジャー＞_３５０ｍｌ_缶,7,873,9
4904230060239,サントネージュリラ赤７２０ｍ,アサヒ サントネージュリラ赤_７２０ｍｌ,2,656,2
4904230060246,サントネージュリラ赤３２０ｍ,アサヒ サントネージュリラ赤_３２０ｍｌ,12,2856,12
4904230060253,サントネージュリラ白３２０ｍ,アサヒ サントネージュリラ白_３２０ｍｌ,8,1904,8
4904230061359,さつま司スモーキーな麦　７２,アサヒ さつま司蒸溜蔵が仕立てたスモーキーな麦焼酎_乙_麦_７２０ｍｌ,36,65860,37
4904230100409,ブラックニッカスペシャル７２,アサヒ ブラックニッカ_スペシャル_７２０ｍｌ,6,7680,6
4904230100683,ニッカ　フロムザバレル　５０,アサヒ ニッカ_フロムザバレル_５００ｍｌ,13,38080,16
4904230200406,ニッカ　アップルワイン　７２,ニッカ　アップルワイン　瓶　７２０ｍｌ,3,2694,3
4904230202400,ニッカドンピエールＶＳＯ６４,アサヒ ニッカドンピエ－ル_ＶＳＯ_６４０ｍｌ,7,8960,7
4904339710479,ボッテガ　ロゼゴールド　７５,ボッテガ　ゴールド　ロゼ　７５０ｍｌ,1,2480,1
4904339743828,ボッテガ　アカデミア　ブルー,ボツテガ　アカデミア　ブルー　７５０ｍｌ,5,5865,6
4904339996941,マリウス　ルージュ　７５０ｍ,マリウス　ルージュ　７５０ｍｌ,1,958,1
4904339997450,レンツォ　マージ　キアンティ,レンツオ　マージ　キャンティ　７５０ｍｌ,1,980,1
4904339999065,トロヴァティ　グリッロ　７５,トロヴァティ_グリッロ,1,1080,1
4904670002301,宝　果実酒の季節２２０ｍｌカ,宝酒造 果実酒の季節_３５度_甲_２２０ｍｌ_カップ,2,620,3
4904670003520,宝　果実酒の季節パウチ９００,宝酒造 ホワイトタカラ果実酒の季節_３５度_甲_９００ｍｌ_パック,1,664,1
4904670011112,宝酒造　一刻者　紫　７２０ｍ,宝酒造 一刻者紫_２５度_乙_芋_７２０ｍｌ,6,8988,6
4904670011570,タカラ果実酒の季節１．８Ｌパ,宝酒造 ホワイトタカラ果実酒の季節_３５度_甲_１．８Ｌ_パック,5,7500,5
4904670012515,宝酒造　「タカラモダン」２５,宝酒造 宝焼酎タカラモダン_２５度_甲_６００ｍｌ,3,1252,4
4904670013475,宝レジェンド２５度パック１．,宝酒造 宝焼酎レジェンド_２５度_甲_１．８Ｌ_パック,3,4134,3
4904670013499,宝レモンサワー用パック１．８,宝酒造 宝焼酎レモンサワー用_２５度_甲_１．８Ｌ_パック,4,4712,4
4904670013512,宝　純　２５°パック　１．８,宝酒造 宝焼酎純_２５度_甲_１．８Ｌ_パック,6,8148,6
4904670013758,宝レモンサワー用　６００ｍｌ,宝酒造 宝焼酎レモンサワー用_２５度_甲_６００ｍｌ,11,6138,11
4904670015219,樽が香る宝焼酎２５°２Ｌ,宝酒造 樽が香る宝焼酎_２５度_甲_２Ｌ_ペット,5,6490,5
4904670015400,本格麦焼酎ひゅうが晴れ９００,宝酒造 ひゅうが晴_２５度_乙_麦_９００ｍｌ_パック,3,2355,3
4904670016162,宝酒造本格焼酎日向の雫２５°,宝酒造 日向の雫_２５度_乙_９００ｍｌ_パック,3,2634,3
4904670016742,芋焼酎一刻者樽貯蔵７２０ｍｌ,宝酒造 一刻者樽貯蔵_２５度_乙_芋_７２０ｍｌ,1,1498,1
4904670018418,極上宝焼酎２５°２Ｌ,宝酒造 極上宝焼酎_２５度_甲_２Ｌ_ペット,2,2496,2
4904670020015,極上宝焼酎２５°２．７Ｌ,宝酒造 極上宝焼酎_２５度_甲_２．７Ｌ_ペット,18,34760,22
4904670025072,宝琥珀のよかいち麦２５度パッ,宝酒造 琥珀のよかいち_２５度_乙_麦_１．８Ｌ_パック,4,5792,4
4904670025201,宝琥珀のよかいち麦２５度瓶７,宝酒造 琥珀のよかいち_２５度_乙_麦_７２０ｍｌ,1,858,1
4904670026611,宝酒造黒よかいち芋２５゜パウ,宝酒造 黒よかいち_２５度_乙_芋_９００ｍｌ_パウチ,4,3040,4
4904670026628,宝酒造黒よかいち麦２５゜パウ,宝酒造 黒よかいち_２５度_乙_麦_９００ｍｌ_パウチ,4,2840,4
4904670027861,宝酒造芋焼酎一刻者赤１．８Ｌ,宝酒造 一刻者赤_２５度_乙_芋_１．８Ｌ,1,3038,1
4904670027878,宝酒造　一刻者　長期貯蔵,宝酒造 一刻者長期貯蔵_２５度_乙_芋_７２０ｍｌ,5,9490,5
4904670028028,宝全量芋焼酎一刻者赤７２０ｍ,宝酒造 一刻者赤_２５度_乙_芋_７２０ｍｌ,5,6990,5
4904670028905,宝酒造宝焼酎２５°パウチ９０,宝酒造 宝焼酎_２５度_甲_９００ｍｌ_パウチ,24,13970,22
4904670028943,宝極上宝焼酎２５度パウチ９０,宝酒造 極上宝焼酎_２５度_甲_９００ｍｌ_パウチ,43,28635,43
4904670031202,宝酒造芋焼酎一刻者７２０ｍｌ,宝酒造 一刻者_２５度_乙_芋_７２０ｍｌ,9,13050,10
4904670033060,甲２５°宝カップ　　２２０ｍ,宝酒造 宝焼酎タカラカップ_２５度_甲_２２０ｍｌ_カップ,159,39648,236
4904670035842,宝　宝焼酎２５度　２、７Ｌ,宝酒造 宝焼酎_２５度_甲_２．７Ｌ_ペット,55,77328,56
4904670040600,宝酒造　宝焼酎２５度　４Ｌ,宝酒造 宝焼酎_２５度_甲_４Ｌ_ペット,122,241696,128
4904670045605,宝　純２５°　７２０ｍｌ,宝酒造 宝焼酎純_２５度_甲_７２０ｍｌ,14,9072,14
4904670054188,宝酒造　宝焼酎２５°丸瓶３６,宝酒造 宝焼酎_２５度_甲_３６０ｍｌ,40,10885,41
4904670054225,宝　焼酎甲類　２５°６００ｍ,宝酒造 宝焼酎_２５度_甲_６００ｍｌ,20,8756,22
4904670055031,宝極上２５度ペット４Ｌ,宝酒造 極上宝焼酎_２５度_甲_４Ｌ_ペット,52,111194,53
4904670056052,宝酒造極上宝焼酎２５度９００,宝酒造 極上宝焼酎_２５度_甲_９００ｍｌ_パック,13,9310,14
4904670056076,宝　極上２５度パック　１．８,宝酒造 極上宝焼酎_２５度_甲_１．８Ｌ_パック,54,61530,56
4904670057561,宝焼酎ピュアパック２５度,宝酒造 宝焼酎ピュアパック_２５度_甲_１．８Ｌ_パック,123,114436,122
4904670061766,宝酒造ピュアパック２５°９０,宝酒造 宝焼酎ピュアパック_２５度_甲_９００ｍｌ_パック,41,24518,41
4904670067553,宝酒造　極上宝焼酎２０°４Ｌ,宝酒造 極上宝焼酎_２０度_甲_４Ｌ_ペット,1,2075,1
4904670071307,宝酒造　純　２０　　７２０ｍ,宝酒造 宝焼酎純_２０度_甲_７２０ｍｌ,8,4480,8
4904670073196,宝酒造宝カップ２０°２２０ｍ,宝酒造 宝焼酎タカラカップ_２０度_甲_２２０ｍｌ_カップ,85,19388,131
4904670077927,宝　宝焼酎２０°　２．７Ｌ,宝酒造 宝焼酎_２０度_甲_２．７Ｌ_ペット,11,13398,11
4904670078009,宝　純　２０°パック　１．８,宝酒造 宝焼酎純_２０度_甲_１．８Ｌ_パック,7,8106,7
4904670081085,宝酒造　宝焼酎２０°　４Ｌ,宝酒造 宝焼酎_２０度_甲_４Ｌ_ペット,13,22464,13
4904670087667,宝酒造ピュアパック２０°９０,宝酒造 宝焼酎ピュアパック_２０度_甲_９００ｍｌ_パック,35,18830,35
4904670088695,宝　ピュアパック２０°１．８,宝酒造 宝焼酎ピュアパック_２０度_甲_１．８Ｌ_パック,69,60336,72
4904670141604,タカラ料理のための清酒パック,宝酒造 地酒清酒_料理のための清酒_９００ｍｌ_パック,78,36504,78
4904670142021,タカラ料理ワイン白３００ｍｌ,タカラ　料理のための白ワイン　壜　３００ｍｌ,1,298,1
4904670144889,タカラ料理のための清酒３００,タカラ　料理のための清酒　ペット　３００ｍｌ,47,12138,51
4904670146470,宝酒造料理のための清酒５００,タカラ　料理のための清酒　紙パック　５００ｍｌ,68,20364,68
4904670146951,料理のための清酒糖質ゼロ１．,宝酒造 地酒清酒_料理のための清酒＜糖質ゼロ＞_１．８Ｌ_パック,10,6600,10
4904670149877,タカラ料理のための清酒１．８,宝酒造 その他清酒_料理のための清酒_１．８Ｌ_パック,48,33534,48
4904670216067,松竹梅澪スパークリング清酒,宝酒造 ＮＢ_松竹梅白壁蔵澪_７５０ｍｌ,4,4720,4
4904670216784,宝　松竹梅澪　スパークリング,宝酒造 ＮＢ_松竹梅白壁蔵澪_１５０ｍｌ,14,4608,16
4904670217125,宝酒造　「澪ＤＲＹ」３００ｍ,宝酒造 ＮＢ_松竹梅白壁蔵澪ＤＲＹ_３００ｍｌ,4,1912,4
4904670220996,宝酒造　松竹梅「澪」ｗｈｉｔ,宝酒造 ＮＢ_松竹梅白壁蔵澪ＷＨＩＴＥ_３００ｍｌ,2,598,2
4904670225250,宝酒造　松竹梅「澪」ＲＯＳＥ,宝酒造 ＮＢ_松竹梅白壁蔵澪ＲＯＳＥ_３００ｍｌ,5,2090,5
4904670226783,松竹梅大吟醸磨き三割九分７２,宝酒造 ＮＢ_特撰松竹梅大吟醸磨き三割九分_７２０ｍｌ,4,2995,5
4904670242103,上撰　松竹梅　　１．８Ｌ壜,宝酒造 ＮＢ_上撰松竹梅_１．８Ｌ,9,16225,11
