item_cd,item_name,itemnm,count,amount,quantity
4967860161073,そふと新光ペット　　２０°　２７００ｍｌ,秋田県醗酵工業 そふと新光_２０度_甲_２．７Ｌ_ペット,12,17904,14
4967860161158,そふと新光　２０°　１８００ｍｌ,秋田県醗酵工業 そふと新光_２０度_甲_１．８Ｌ_ペット,3,2848,3
4967860430308,おもてなし　　　　　米焼酎２５度　　　　７２０ｍｌ,秋田県醗酵工　おもてなし　米焼酎　八年貯蔵　７２０,3,3153,3
4967860500636,なまはげストロング　ＤＲＹ３５０ＭＬ,秋田県醗酵工業 なまはげストロング＜ドライ＞_３５０ｍｌ_缶,12,2802,21
4967860616337,おもてなし大吟醸　銀７２０ｍｌ,県醗酵ｵﾓﾃﾅｼ大吟銀720ml,7,6465,7
4967860976745,秋田の雪大吟醸パック１８００ｍｌ,秋田県醗酵工業 地酒_秋田の雪大吟醸酒_１．８Ｌ_パック,5,6900,5
4969265703308,ホワイトオーク　　　あかし　５００ｍｌ,江井ヶ嶋酒造 ホワイトオーク_あかし_５００ｍｌ,15,14866,16
4969265759176,江井ヶ嶋酒造　シーフロント５００ｍｌ,江井ヶ嶋酒造 ＳＥＡＦＲＯＮＴ_５００ｍｌ,1,1579,1
4969265773134,ホワイトオーク　　　あかし　レッド　　　５００ｍｌ,江井ヶ嶋酒造 ホワイトオーク_あかしレッド４０度_５００ｍｌ,5,3673,5
4969516013101,高清水　　　　　　　純米酒「酒乃国」　　１８００ｍｌ,秋田酒類製造 地酒_酒乃国高清水純米酒_１．８Ｌ,1,2048,1
4969516100122,高清水　純米大吟醸　７２０ｍｌ,秋田酒類製造 地酒_高清水純米大吟醸酒_７２０ｍｌ,3,3990,3
4969516140012,高清水　精撰　　　　１８００ｍｌ,秋田酒類製造 地酒_精撰高清水普通酒_１．８Ｌ,4,7422,5
4969516140029,高清水精撰辛口パック１８００ｍｌ,秋田酒類製造 地酒_精撰高清水普通酒_１．８Ｌ,1,1520,1
4969516140043,高清水　精撰パック　１８００ｍｌ,秋田酒類製造 地酒_精撰高清水普通酒_１．８Ｌ_パック,4,5837,4
4969516140067,高清水　精撰　　　　７２０ｍｌ,秋田酒類製造 地酒_精撰高清水普通酒_７２０ｍｌ,1,647,1
4969516311603,高清水　上撰本醸造　カップ２００ｍｌ,秋田酒類製造 地酒_上撰高清水本醸造酒_２００ｍｌ_カップ,3,411,3
4969516410320,高清水　辛口パック　１８００ｍｌ,秋田酒類製造 地酒_高清水辛口普通酒_１．８Ｌ_パック,11,18501,13
4969516410856,高清水　精撰カップ　２００ｍｌ,秋田酒類製造 地酒_精撰高清水普通酒_２００ｍｌ_カップ,4,942,5
4970388322444,焦がし麦焼酎パック　２５度　１８００ｍｌ＜いそのさわ＞,いそのさわ 焦がし麦焼酎_２５度_乙_麦_１．８Ｌ,9,12840,10
4970829242515,あさ開　純米酒　　　７２０ｍｌ,あさ開 地酒_あさ開純米酒_７２０ｍｌ,13,12003,14
4970914327981,両関　　酒パック　　２０００ｍｌ,両関酒造 地酒_両関_１．８Ｌ_パック,3,5120,4
4970914830139,両関　純米酒　瓶　　７２０ｍｌ,両関　純米酒　瓶　７２０ｍｌ,1,1379,1
