item_cd,item_name,category1_cd,category2_cd,category3_cd,itemnm,count,amount,f0_
3438931009415,サントリー　デュックドパリブリュット　７５０ｍｌ,249,2495,790,デュックドパリ　ブリュット_７５０ｍｌ,99,106434,99
3438931019483,サントリー　ミュスカドール　７５０ｍｌ,249,2495,122,ミュスカドール　マスカット　スパークリング　７５０,20,21200,20
3443620068185,サントリー　ウィリアムフェーブル　シャブリ　７５０ｍｌ,249,2495,423,ウィリアム　フェーブル　シャブリ,8,23904,8
3500610063190,ＪＰ．ＣＨＥＮＥＴ　ＣＬＡＳＳＩＣ　ＭＥＲＬＯＴ　ＲＯＳＥ　７５０ｍｌ,249,2495,512,ＪＰシェネ　クラシック　メルロー　ロゼ,2,2160,2
3525490010027,バデクレマン　レジャメル　カベルネソーヴィニヨン　７５０ｍｌ,249,2495,550,レジャメル　ＶＤＰカベルネソーヴィニヨン赤　７５０,8,10384,8
3525490015763,バデクレマン　レジャメル　シャルドネ　７５０ｍｌ,249,2495,692,レジャメル　シャルドネ　白　７５０ｍｌ,2,2596,2
3525490162061,レ・グランザルブル　ブラン　３７５ｍｌ,249,2495,482,ﾘｰﾄﾞｵﾌJ ﾚ･ｸﾞﾗﾝｻﾞﾙﾌﾞﾙ　VDPd'oc　ﾌﾞﾗﾝ375ml,71,43358,71
3525490162078,レ・グランザルブル　ルージュ　３７５ｍｌ,249,2495,483,ﾘｰﾄﾞｵﾌJ ﾚ･ｸﾞﾗﾝｻﾞﾙﾌﾞﾙ　VDPd'oc　ﾙｰｼﾞｭ375ml,124,77584,124
3535923020004,ルイジャド　ブルゴーニュ　ピノノワール　７５０ｍｌ,249,2495,315,ﾙｲｼﾞｬﾄﾞ ﾌﾞﾙｺﾞｰﾆｭ ﾋﾟﾉﾉﾜｰﾙ 750ml,12,29496,12
3535926001000,ルイジャド　ブルゴーニュシャルドネ　７５０ｍｌ,249,2495,316,ﾙｲ･ｼﾞﾔﾄﾞ- ﾌﾞﾙｺﾞ-ﾆﾕ ｼﾔﾙﾄﾞﾈ ｼﾛ 750ML,5,12290,5
3554884001129,?,249,2495,730,サシャリシーヌ　ルコックルージュ　赤　７５０ｍｌ,2,1792,2
3760136207151,クラレンス・ディロン　クラレンドル・ルージュ　７５０ｍｌ,249,2495,321,クラレンドル・ルージュ　750,3,8496,3
4001486939002,マルチヴィタヴィーノ７５０ｍｌ,249,2495,442,ドクターデムース　マルチヴィタヴィーノ　７５０ｍｌ,13,11592,15
4003301035968,ブリー　ロゼ　ピノノワール　７５０ｍｌ,249,2495,488,ブリー　ロゼ　ピノノワール　７５０ｍｌ,13,15908,13
4003301038143,ブリー　ホワイト　シャルドネ　７５０ｍｌ,249,2495,524,ブリー　ホワイト　シャルドネ　白　７５０ｍｌ,8,9780,8
4003301045264,ブリー　ロゼ　ピノノワール　２５０ｍｌ,249,2495,276,ブリー　ロゼ　ピノノワール　２５０ｍｌ,5,3190,5
4004068110080,サントリー　リープフラウミルヒ　マドンナ　７５０ｍｌ,249,2495,304,マドンナ・リープフラウミルヒ_リースリング/ミュラートゥルガウ_７５０ｍｌ,189,204660,190
4004068110158,サントリー　マドンナＲ　ロゼ　７５０ｍｌ,249,2495,8,マドンナ　Ｒ　２０１４　ロゼ　７５０ｍｌ,10,11700,10
4004068120072,ファルケンベルグ　リープフラウミルヒ　マドンナ　３７５ｍｌ,249,2495,114,リープフラウミルヒ　マドンナ　３７５ｍｌ,45,31410,45
4004068160030,サントリ−マドンナシュペトレ−ゼ７５０ＭＬ,249,2495,306,Ｆ　マドンナ・シュペトレーゼ,9,17452,9
4004068160153,マドンナ　モーゼル７５０ｍｌ,249,2495,303,マドンナ　モーゼル　２０１４　瓶　７５０ｍｌ,12,14040,12
4067700014184,サントリー　イエーガーマイスター　７００ｍｌ,249,2494,26,イエーガーマイスター_７００ｍｌ,4,5236,4
424921580005,秋鹿酒造　純米酒　千秋　１，８００ｍｌ,249,2492,158,秋鹿酒造　純米酒　千秋　１，８,26,52000,26
424929540001,呉春　特吟　１．８Ｌ（ＪＡＮコードなし）,249,2492,954,呉春　特吟　１．８Ｌ（ＪＡＮコ,10,42000,10
424929560009,?,249,2492,954,呉春　本醸造　１，８００ｍｌ,11,24200,11
424929570008,呉春　１．８Ｌ（ＪＡＮコードなし）,249,2492,957,呉春　１．８Ｌ（ＪＹＮコードな,6,11100,6
425053070006,黒木本店　喜六　芋　２５度　１８００ｍｌ,249,2505,307,,2,6960,2
425059050002,甲斐商店　伊佐美　１８００ｍｌ,249,2505,905,,2,7960,2
45069086,月桂冠　上撰　エコカップ　２１０ｍｌ,249,2492,74,月桂冠 ＮＢ_上撰月桂冠普通酒_２１０ｍｌ,1224,215644,1282
4511413134764,Ｊ−ＣＲＡＦＴ　　香爽のフルーティホワイト　　３３０ｍｌ　※終売,249,2503,5,ディーエイチシー Ｊ－ＣＲＡＦＴ華ほの香_香爽のフルーティホワイトＧＯＴＥＭＢＡ_３３０ｍｌ_瓶,13,4577,13
4512121724414,川島酒造　松の花　生原酒　７２０ｍｌ,249,2492,515,川島酒造 地酒_松の花生原酒_７２０ｍｌ×３,3,2964,3
4512672350117,佐々木酒造　まるたけえびす本醸造　瓶　７２０ｍｌ,249,2492,217,佐々木酒造 地酒_まるたけえびす本醸造酒_７２０ｍｌ,16,16000,16
4512672350315,佐々木酒造　聚楽第　純米吟醸　瓶　７２０ｍｌ,249,2492,721,佐々木酒造 地酒_聚楽第純米吟醸酒_７２０ｍｌ,66,85485,66
4512672352425,佐々木酒造　西陣　特別純米酒　瓶　７２０ｍｌ,249,2492,292,佐々木酒造 地酒_西陣特別純米酒_７２０ｍｌ,11,18720,11
4512672510061,佐々木酒造　古都　特別純米　瓶　７２０ｍｌ,249,2492,718,佐々木酒造 地酒_古都特別純米酒_７２０ｍｌ,35,38325,35
4512672510085,佐々木酒造　古都純米吟醸　７２０ｍｌ,249,2492,446,佐々木酒造 地酒_古都純米吟醸酒_７２０ｍｌ,11,14040,11
4512672510122,佐々木酒造　古都大吟醸　７２０ｍｌ,249,2492,503,佐々木酒造 地酒_古都大吟醸酒_７２０ｍｌ,25,50000,25
4512672510399,佐々木酒造　まるたけえびす本醸造　瓶　３００ｍｌ,249,2492,724,佐々木酒造 地酒_まるたけえびす本醸造酒_３００ｍｌ,28,11480,28
4512672510764,佐々木酒造　古都純米吟醸　３００ｍｌ,249,2492,712,佐々木酒造 地酒_古都純米吟醸酒,35,19260,33
4512672511846,佐々木酒造　古都　特別純米　瓶　３００ｍｌ,249,2492,714,佐々木酒造 地酒_古都特別純米酒_３００ｍｌ,24,11850,24
4512672512010,佐々木酒造　平安四神　吟醸　７２０ｍｌ,249,2492,388,佐々木酒造 地酒_平安四神吟醸酒_７２０ｍｌ,4,5712,4
4512672512584,聚楽第　京都の夏冷酒　純米吟醸酒,249,2492,94,聚楽第　京都の夏冷酒　純米吟醸,78,77420,79
4512672512591,?,249,2492,682,佐々木酒造 地酒_聚楽第冬冷酒,4,1960,4
4513866051131,北山酒蔵　純米酒　島美人　７２０ｍｌ,249,2492,330,北山酒造島美人純米酒７２０ｍｌ,1,1018,1
4514657001014,ＪＩＮＲＯ　マッコリ　ペット　１０００ｍｌ,249,2508,48,眞露 ＪＩＮＮＲＯ_マッコリ_１Ｌ,537,305604,536
4514657002011,ＪＩＮＲＯ　マッコリ　瓶　３７５ｍｌ,249,2508,49,眞露　ＪＩＮＲＯ　マッコリ　６度　３７５ｍｌ,1,179,1
4514657164436,Ｓｔｙｌｅ　ＯＮＥ　（新）シャイン・モルト　３５０ｍｌ,249,2508,760,スタイルワン_シャインモルト_３５０ｍｌ_缶,8368,768917,8740
4514657164443,ＳｔｙｌｅＯＮＥ　シャイン・モルト　３５０ｍｌ×６缶　（新）,249,2508,761,スタイルワン_シャインモルト_３５０ｍｌ×６_缶,4595,2341740,4799
4514657164450,ＳｔｙｌｅＯＮＥ　シャイン・モルト　３５０ｍｌケース（新）,249,2508,762,スタイルワン_シャインモルト_３５０ｍｌ×２４_缶,145,302560,155
