item_cd_2,item_name_1,itemnm,count,amount,quantity
4515841006112,銀河高原　小麦のビ・ルシルバー３００ｍｌ,銀河高原ビール 小麦のビールシルバ_３００ｍｌ_瓶,16,4845,17
4515841006235,銀河高原　ペールエール　３５０ｍｌ,銀河高原ビール ペールエール_３５０ｍｌ_缶,23,6200,25
4516251000028,奄美大島開運　れんと黒糖焼酎２５度７２０ｍｌ,奄美大島開運酒造 れんと_２５度_乙_黒糖_７２０ｍｌ,11,12100,11
4520529070231,グロ・バル　バキュ・フレッシュ,グローバル　バキュフレツシュ,3,3000,3
4520529070613,グロ・バル　バキュ・フレッシュ替え栓（２個入り）,,2,0,0
4520529083071,グロ・バル　カラーシャンパンストッパー＆ポアラー　グリーン,,1,951,1
4520529084009,グロ・バル　ウイングコルクスクリュー　ブルー,,1,729,1
4520529084016,グロ・バル　ウイングコルクスクリュー　レッド,,1,729,1
4520748900029,種子島酒造　貯蔵熟成　久耀白豊芋９００ｍｌ,久耀　芋２５度　貯蔵熟成　乙　瓶　９００ｍｌ,1,1240,1
4520748902030,種子島酒造　黄金安納　２５度　９００ｍｌ,種子島酒造 黄金安納_２５度_乙_芋_９００ｍｌ,1,1200,1
4522325298239,カルヴィソン　レヴィニョロンメルロ７５０ｍｌ,カルヴィソン　メルロ,3,898,1
4534847008203,梅乃宿酒造　フルータススパークリング　ブラッドオレンジ　２５０ｍｌ,梅乃宿酒造 フルータススパークリング_ブラッドオレンジ_２５０ｍｌ,7,2660,7
4535478000055,緑川酒造　緑川　純米　７２０ｍｌ,緑川酒造 地酒_純米酒_７２０ｍｌ,1,1880,1
4535659000966,ヤッホー　東京ブラック　３５０ｍｌ,ヤッホー・ブルーイング 東京ブラック_３５０ｍｌ_缶,48,13617,51
4535659001185,ヤッホーブルーイングインドの青鬼　３５０ｍｌ,ヤッホー・ブルーイング インドの青鬼_３５０ｍｌ_缶,32,14280,51
4535659001765,水曜日のネコ　３５０ｍｌ,ヤッホー・ブルーイング 水曜日のネコ_３５０ｍｌ_缶,69,19345,73
4538540035511,オラホビール　雷電　カンヌキ（閂）ＩＰＡ　３５０ｍｌ,信州東御市振興公社 雷電_カンヌキＩＰＡ_３５０ｍｌ_缶,28,9536,32
4539594100170,グレンリベット１２年７００ｍｌ,ザ・グレンリベット_１２年_７００ｍｌ,3,10740,3
4539594600113,カフェドパリ　ピーチ　７５０ｍｌ,カフェドパリ　ブランド・フルーツピーチ　７５０ｍｌ,1,1398,1
4539594600441,カフェドパリ　マスカット　２００ｍｌ,カフェドパリ　ブランドフルーツマスカット２００ｍｌ,1,550,1
4543274111233,平井商店　浅茅生特別純米湖小蔵３００ｍｌ,,2,1000,2
4544194120572,エチゴビール　プレミアムレッドエール　３５０ｍｌ,エチゴビ－ル プレミアムレッドエ－ル_３５０ｍｌ_缶,8,2120,8
4544194201127,エチゴビール　ピルスナー　３５０ｍｌ,エチゴビ－ル ピルスナー_３５０ｍｌ_缶,11,3180,12
4549387830436,エル・ミシオネロ　テンプラニーリョ　７５０ｍｌ,エル・ミシオネロ　テンプラニーリョ　赤　７５０ｍｌ,3,1591,3
4549387899358,シャトー　デル・バジェ　赤　７５０ｍｌ,Ｃｈ　デル　バジェ　赤　７５０ｍｌ,1,549,1
4560109531011,ドメーヌ　フェブレイブルゴーニュ　ピノＮ７５０ｍｌ,フェヴレ　ブルゴーニュルージュ　瓶　７５０ｍｌ,1,2980,1
4571215616080,アランブリュモン　ガスコーニュ　タナ・カベルネ　７５０ＭＬ,アラン・ブリュモン　ガスコーニュ　タナ・カベルネ,2,2360,2
4573243750187,越乃寒梅　白ラベル　７２０ｍｌ,石本酒造 地酒_越乃寒梅白ラベル本醸造酒_７２０ｍｌ,7,7252,5
4580088680111,鹿児島ハイボールまろやか　３５０ｍｌ,味香り戦略研究所 鹿児島ハイボールまろやか_３５０ｍｌ_缶,39,12208,56
4582163124886,くらしモア　ストロングＣレモン　３５０ｍｌ,富久娘酒造 くらしモアストロングチューハイ＜レモン＞_３５０ｍｌ_缶,301,33176,377
4582163124909,くらしモア　ストロングＣＧＦ　３５０ｍｌ,富久娘酒造 くらしモアストロングチューハイ＜グレープフルーツ＞_３５０ｍｌ_缶,212,23672,269
4582163124923,くらしモア　ＳＣシークワーサー　３５０ｍｌ,富久娘酒造 くらしモアストロングチューハイ＜シークヮーサー＞_３５０ｍｌ_缶,229,22528,256
