jancd,makercd,itemnm,itemkn,tanka,itemkikaku,itemtani,irisu,width,height,depth,jcat1cd,jcat2cd,jcat3cd,jcat4cd,jcatnm,scat1cd,scat2cd,scat3cd,scat4cd,scat1nm,scat2nm,scat3nm,scat4nm,syubaiflg,hatdate,instime,updtime,delete_flg
2400022939650,4901004,アサヒ　オフ　350ml　ケース　（新）,,0,0.0,,0,0,0,0,,,,,,014,041,004,002,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ機能系,0,,2017-07-12 00:00:00,2019-10-23 00:00:00,0
2400022939797,4901004,クリアアサヒ　夏の涼味　500×6缶,,0,3000.0,ml,6,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2017-07-12 00:00:00,2019-10-23 00:00:00,0
2400022939803,4901004,クリアアサヒ　夏の涼味　500ml,,0,500.0,ml,1,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2017-07-12 00:00:00,2019-10-23 00:00:00,0
2400022939810,,ニッポンプレミアム　山梨県産白桃のチューハイ,,0,0.0,,0,0,0,0,,,,,,014,083,003,003,飲料･酒類,RTD,ﾊﾞﾗｴﾃｨ系,ﾊﾞﾗｴﾃｨ低アル(3%以下),0,,2017-07-12 00:00:00,2019-10-23 00:00:00,0
2400022957777,4901411,澄みきり　500×6缶,,0,3000.0,ml,6,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2017-07-12 00:00:00,2019-10-23 00:00:00,0
2400023219591,4901777,角ハイボール,,0,0.0,,0,0,0,0,,,,,,014,083,001,002,飲料･酒類,RTD,ﾄﾞﾗｲ(食中)系,ﾄﾞﾗｲ中アル(4-7%),0,,2017-07-26 00:00:00,2019-10-23 00:00:00,0
2400023507704,4901777,角ハイボール,,0,0.0,,0,0,0,0,,,,,,014,083,001,002,飲料･酒類,RTD,ﾄﾞﾗｲ(食中)系,ﾄﾞﾗｲ中アル(4-7%),0,,2017-08-09 00:00:00,2019-10-23 00:00:00,0
2400023877104,4901411,のどごし　350ml　ケース,,0,8400.0,ml,0,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2017-09-06 00:00:00,2019-10-23 00:00:00,0
2400023891810,4901411,旅する氷結　バラエティパック,,0,0.0,,0,0,0,0,,,,,,014,083,003,002,飲料･酒類,RTD,ﾊﾞﾗｴﾃｨ系,ﾊﾞﾗｴﾃｨ中アル(4-7%),0,,2017-09-06 00:00:00,2019-10-23 00:00:00,0
2400023892213,4901411,淡麗グリーン　350ml　ケース　キャンペーンパック,,0,8400.0,ml,0,0,0,0,,,,,,014,041,003,002,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒機能系,0,,2017-09-06 00:00:00,2019-10-23 00:00:00,0
2400023935163,4901004,すらっと　アセロラ&ザクロサワー,,0,0.0,,0,0,0,0,,,,,,014,083,002,003,飲料･酒類,RTD,柑橘系,柑橘低アル(3%以下),0,,2017-09-06 00:00:00,2019-10-23 00:00:00,0
2400023935187,4901880,ナポリンサワー,,0,0.0,,0,0,0,0,,,,,,014,083,003,002,飲料･酒類,RTD,ﾊﾞﾗｴﾃｨ系,ﾊﾞﾗｴﾃｨ中アル(4-7%),0,,2017-09-06 00:00:00,2019-10-23 00:00:00,0
2400023935194,4901004,すらっと　ジンジャー&レモンサワー,,0,0.0,,0,0,0,0,,,,,,014,083,002,003,飲料･酒類,RTD,柑橘系,柑橘低アル(3%以下),0,,2017-09-06 00:00:00,2019-10-23 00:00:00,0
2400023935200,4901004,果実の瞬間　夏限定　国産白桃,,0,0.0,,0,0,0,0,,,,,,014,083,002,002,飲料･酒類,RTD,柑橘系,柑橘中アル(4-7%),0,,2017-09-06 00:00:00,2019-02-08 00:00:00,0
2400023935217,4901004,果実の瞬間　夏限定　国産アンデスメロン,,0,0.0,,0,0,0,0,,,,,,014,083,002,002,飲料･酒類,RTD,柑橘系,柑橘中アル(4-7%),0,,2017-09-06 00:00:00,2019-02-08 00:00:00,0
2400023945490,4901004,クリアアサヒ　夏の涼味　350ml,,0,350.0,ml,1,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2017-09-06 00:00:00,2019-10-23 00:00:00,0
2400023953648,4901004,レフ　ブラウン　瓶,,0,330.0,ml,0,0,0,0,,,,,,014,041,003,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒,0,,2017-09-06 00:00:00,2019-10-23 00:00:00,0
2400024008507,4901411,のどごし　500ml,,0,500.0,ml,1,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2017-09-13 00:00:00,2019-10-23 00:00:00,0
2400024050148,4901004,ウィルキンソンハード　6缶パック,,0,0.0,,0,0,0,0,,,,,,014,083,001,001,飲料･酒類,RTD,ﾄﾞﾗｲ(食中)系,ﾄﾞﾗｲ高アル(8%以上),0,,2017-09-13 00:00:00,2019-10-23 00:00:00,0
2400024051886,4901411,のどごし　350×6缶,,0,2100.0,ml,0,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2017-09-13 00:00:00,2019-10-23 00:00:00,0
2400024051893,4901411,のどごし　350×6缶,,0,2100.0,ml,6,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2017-09-13 00:00:00,2019-10-23 00:00:00,0
